Date,Server_ID,Region,Server_Type,CPU_Utilization_Pct,Memory_Utilization_Pct,Disk_Utilization_Pct,Requests_Count,Network_Traffic_MBps,Avg_Response_Time_ms,Error_Count,Incident_Count,Server_Status,Availability_Pct
2026-07-01,SRV-101,Mumbai,Web,60.96,60.62,63.83,97845,396.59,169.46,19,0,Healthy,99.9806
2026-07-01,SRV-102,Mumbai,Web,48.03,56.75,52.86,61138,515.04,62.44,15,0,Healthy,99.9755
2026-07-01,SRV-103,Chennai,Database,44.1,47.88,71.19,71613,277.53,183.04,19,1,Healthy,99.9735
2026-07-01,SRV-104,Chennai,Database,47.79,59.08,52.58,102784,314.23,179.39,15,0,Healthy,99.9854
2026-07-01,SRV-105,Bengaluru,Application,88.34,73.94,59.97,88226,261.67,134.59,15,0,Warning,99.983
2026-07-01,SRV-106,Bengaluru,Application,59.12,44.37,60.92,69223,481.17,149.54,21,1,Healthy,99.9697
2026-07-01,SRV-107,Hyderabad,API,44.93,58.91,60.98,89633,401.43,158.44,15,1,Healthy,99.9833
2026-07-01,SRV-108,Hyderabad,API,54.14,72.04,61.25,65323,573.8,196.26,22,1,Healthy,99.9663
2026-07-01,SRV-109,Delhi,Web,56.04,59.01,58.83,45186,455.71,170.11,17,0,Healthy,99.9624
2026-07-01,SRV-110,Delhi,Database,52.45,57.73,62.51,92372,451.45,191.57,18,1,Healthy,99.9805
2026-07-02,SRV-101,Mumbai,Web,51.92,58.32,69.46,70620,454.55,60.52,14,0,Healthy,99.9802
2026-07-02,SRV-102,Mumbai,Web,53.06,66.04,74.98,77618,412.56,191.59,29,1,Healthy,99.9626
2026-07-02,SRV-103,Chennai,Database,55.72,86.63,56.27,79523,303.13,178.44,20,0,Warning,99.9749
2026-07-02,SRV-104,Chennai,Database,45.38,75.84,70.65,95884,427.69,140.37,23,0,Healthy,99.976
2026-07-02,SRV-105,Bengaluru,Application,56.2,56.97,44.04,76028,467.36,132.2,20,1,Healthy,99.9737
2026-07-02,SRV-106,Bengaluru,Application,45.6,58.78,65.32,56537,550.71,190.24,18,0,Healthy,99.9682
2026-07-02,SRV-107,Hyderabad,API,37.72,73.91,69.69,61992,541.71,207.79,11,2,Healthy,99.9823
2026-07-02,SRV-108,Hyderabad,API,58.52,54.86,74.79,82107,485.66,126.39,21,0,Healthy,99.9744
2026-07-02,SRV-109,Delhi,Web,64.24,74.68,61.82,89108,434.59,140.96,16,0,Healthy,99.982
2026-07-02,SRV-110,Delhi,Database,54.07,65.41,60.49,87407,565.35,180.59,19,0,Healthy,99.9783
2026-07-03,SRV-101,Mumbai,Web,43.44,71.77,58.38,72940,494.03,174.41,23,0,Healthy,99.9685
2026-07-03,SRV-102,Mumbai,Web,49.64,70.56,59.93,56313,458.53,187.79,19,2,Healthy,99.9663
2026-07-03,SRV-103,Chennai,Database,67.69,62.51,65.85,90992,558.2,136.84,15,3,Healthy,99.9835
2026-07-03,SRV-104,Chennai,Database,72.25,62.07,69.98,89823,437.62,190.45,16,0,Healthy,99.9822
2026-07-03,SRV-105,Bengaluru,Application,49.18,62.82,78.83,46991,258.73,210.88,5,1,Healthy,99.9894
2026-07-03,SRV-106,Bengaluru,Application,55.77,51.22,51.56,85193,441.65,147.13,9,1,Healthy,99.9894
2026-07-03,SRV-107,Hyderabad,API,30.7,63.86,52.04,87786,408.53,144.34,23,0,Healthy,99.9738
2026-07-03,SRV-108,Hyderabad,API,50.99,58.82,60.86,50816,546.64,222.54,21,1,Healthy,99.9587
2026-07-03,SRV-109,Delhi,Web,46.23,49.2,55.86,103080,326.74,179.13,18,0,Healthy,99.9825
2026-07-03,SRV-110,Delhi,Database,74.59,47.7,54.04,76961,276.41,244.86,18,1,Healthy,99.9766
2026-07-04,SRV-101,Mumbai,Web,57.39,56.0,58.63,69220,486.21,185.11,16,0,Healthy,99.9769
2026-07-04,SRV-102,Mumbai,Web,63.24,62.71,61.95,73372,440.76,158.11,16,0,Healthy,99.9782
2026-07-04,SRV-103,Chennai,Database,47.93,70.5,61.21,64606,450.73,220.48,21,0,Healthy,99.9675
2026-07-04,SRV-104,Chennai,Database,61.62,54.9,41.91,56691,536.19,149.89,17,1,Healthy,99.97
2026-07-04,SRV-105,Bengaluru,Application,55.15,71.31,53.29,89237,505.4,169.23,11,3,Healthy,99.9877
2026-07-04,SRV-106,Bengaluru,Application,33.5,57.53,68.84,57050,486.71,214.68,22,0,Healthy,99.9614
2026-07-04,SRV-107,Hyderabad,API,55.91,55.23,66.78,72794,387.86,142.85,13,1,Healthy,99.9821
2026-07-04,SRV-108,Hyderabad,API,57.94,56.93,53.76,78480,279.25,114.84,16,1,Healthy,99.9796
2026-07-04,SRV-109,Delhi,Web,65.29,60.4,57.83,59962,391.13,179.17,9,0,Healthy,99.985
2026-07-04,SRV-110,Delhi,Database,70.25,69.71,62.43,76333,335.59,114.95,24,1,Healthy,99.9686
2026-07-05,SRV-101,Mumbai,Web,55.84,71.84,62.26,75815,460.62,282.41,21,1,Healthy,99.9723
2026-07-05,SRV-102,Mumbai,Web,53.67,71.76,44.92,86760,284.49,172.9,16,0,Healthy,99.9816
2026-07-05,SRV-103,Chennai,Database,59.1,80.76,66.55,66346,469.19,139.57,27,1,Healthy,99.9593
2026-07-05,SRV-104,Chennai,Database,69.15,57.31,42.58,95308,543.78,174.85,17,0,Healthy,99.9822
2026-07-05,SRV-105,Bengaluru,Application,58.11,65.02,71.65,79686,260.09,165.91,19,1,Healthy,99.9762
2026-07-05,SRV-106,Bengaluru,Application,45.07,58.96,60.18,105710,575.13,185.17,23,1,Healthy,99.9782
2026-07-05,SRV-107,Hyderabad,API,42.76,59.31,71.4,88167,385.77,160.49,19,0,Healthy,99.9784
2026-07-05,SRV-108,Hyderabad,API,51.77,69.18,71.52,76111,281.99,253.29,18,0,Healthy,99.9764
2026-07-05,SRV-109,Delhi,Web,54.93,66.03,68.1,53382,412.47,174.47,12,0,Healthy,99.9775
2026-07-05,SRV-110,Delhi,Database,59.4,52.6,53.38,59111,515.51,177.18,20,0,Healthy,99.9662
2026-07-06,SRV-101,Mumbai,Web,45.21,56.41,45.09,72127,191.72,182.59,20,2,Healthy,99.9723
2026-07-06,SRV-102,Mumbai,Web,53.65,59.79,63.53,86362,362.42,156.13,16,1,Healthy,99.9815
2026-07-06,SRV-103,Chennai,Database,74.74,59.51,63.19,79668,531.96,318.55,12,1,Healthy,99.9849
2026-07-06,SRV-104,Chennai,Database,45.92,47.78,52.18,58776,508.16,255.92,22,0,Healthy,99.9626
2026-07-06,SRV-105,Bengaluru,Application,83.49,72.15,54.04,98730,353.16,162.54,16,1,Healthy,99.9838
2026-07-06,SRV-106,Bengaluru,Application,55.33,63.27,54.75,71422,357.4,159.39,13,0,Healthy,99.9818
2026-07-06,SRV-107,Hyderabad,API,55.58,53.69,60.43,74246,329.24,169.25,22,0,Healthy,99.9704
2026-07-06,SRV-108,Hyderabad,API,61.34,64.08,76.39,99294,343.83,221.99,14,0,Healthy,99.9859
2026-07-06,SRV-109,Delhi,Web,35.47,62.48,60.34,61435,253.85,208.74,13,1,Healthy,99.9788
2026-07-06,SRV-110,Delhi,Database,44.68,58.15,67.06,66346,307.03,217.61,21,0,Healthy,99.9683
2026-07-07,SRV-101,Mumbai,Web,33.76,51.67,59.53,76340,578.01,201.96,23,1,Healthy,99.9699
2026-07-07,SRV-102,Mumbai,Web,51.18,58.81,62.89,90523,456.08,80.64,24,1,Healthy,99.9735
2026-07-07,SRV-103,Chennai,Database,46.88,39.7,67.46,62346,421.61,108.89,24,1,Healthy,99.9615
2026-07-07,SRV-104,Chennai,Database,44.38,64.87,59.49,83534,379.96,140.63,22,1,Healthy,99.9737
2026-07-07,SRV-105,Bengaluru,Application,49.15,66.04,48.18,62744,460.2,247.94,24,1,Healthy,99.9617
2026-07-07,SRV-106,Bengaluru,Application,70.44,57.55,54.15,66710,517.36,223.37,20,1,Healthy,99.97
2026-07-07,SRV-107,Hyderabad,API,42.3,56.87,59.54,87533,187.53,139.91,27,1,Healthy,99.9692
2026-07-07,SRV-108,Hyderabad,API,52.57,62.47,74.04,83854,464.21,189.76,13,1,Healthy,99.9845
2026-07-07,SRV-109,Delhi,Web,57.21,63.0,57.19,86716,472.4,294.24,17,0,Healthy,99.9804
2026-07-07,SRV-110,Delhi,Database,42.85,45.45,65.41,76099,290.49,121.95,21,0,Healthy,99.9724
2026-07-08,SRV-101,Mumbai,Web,41.49,60.51,57.94,55212,404.28,216.2,16,1,Healthy,99.971
2026-07-08,SRV-102,Mumbai,Web,42.79,67.17,50.81,72531,435.83,180.03,19,1,Healthy,99.9738
2026-07-08,SRV-103,Chennai,Database,53.62,63.55,81.13,58393,154.06,242.49,17,1,Healthy,99.9709
2026-07-08,SRV-104,Chennai,Database,58.48,59.45,56.65,82916,287.35,217.5,17,0,Healthy,99.9795
2026-07-08,SRV-105,Bengaluru,Application,66.23,74.72,64.5,58064,468.94,156.4,20,0,Healthy,99.9656
2026-07-08,SRV-106,Bengaluru,Application,64.77,52.6,60.11,78791,319.29,254.09,14,1,Healthy,99.9822
2026-07-08,SRV-107,Hyderabad,API,34.96,79.65,46.83,62755,244.69,239.21,15,0,Healthy,99.9761
2026-07-08,SRV-108,Hyderabad,API,30.02,78.96,59.9,73549,459.91,155.48,24,2,Healthy,99.9674
2026-07-08,SRV-109,Delhi,Web,80.86,68.72,52.39,68727,430.08,122.02,15,1,Healthy,99.9782
2026-07-08,SRV-110,Delhi,Database,35.44,67.52,76.05,85763,472.69,158.89,24,1,Healthy,99.972
2026-07-09,SRV-101,Mumbai,Web,42.95,67.1,56.58,87098,183.03,197.26,8,1,Healthy,99.9908
2026-07-09,SRV-102,Mumbai,Web,37.79,67.81,44.28,63023,331.62,240.36,15,0,Healthy,99.9762
2026-07-09,SRV-103,Chennai,Database,60.92,63.85,50.27,85504,432.2,154.1,18,0,Healthy,99.9789
2026-07-09,SRV-104,Chennai,Database,50.77,64.43,59.62,69977,415.27,268.88,17,2,Healthy,99.9757
2026-07-09,SRV-105,Bengaluru,Application,62.46,46.3,51.46,71287,482.07,176.65,13,3,Healthy,99.9818
2026-07-09,SRV-106,Bengaluru,Application,65.01,66.59,57.37,50085,440.77,199.33,13,1,Healthy,99.974
2026-07-09,SRV-107,Hyderabad,API,42.03,72.53,57.64,85222,422.98,181.27,16,0,Healthy,99.9812
2026-07-09,SRV-108,Hyderabad,API,38.14,67.01,48.62,94168,433.5,168.25,16,1,Healthy,99.983
2026-07-09,SRV-109,Delhi,Web,65.41,64.83,45.85,83782,424.7,212.1,16,0,Healthy,99.9809
2026-07-09,SRV-110,Delhi,Database,82.59,58.37,53.99,96800,367.71,251.08,14,0,Healthy,99.9855
2026-07-10,SRV-101,Mumbai,Web,42.93,51.49,40.6,56889,488.26,131.82,27,0,Healthy,99.9525
2026-07-10,SRV-102,Mumbai,Web,66.81,59.86,57.55,85122,458.24,129.48,27,1,Healthy,99.9683
2026-07-10,SRV-103,Chennai,Database,47.35,56.69,52.39,66667,538.9,151.32,17,1,Healthy,99.9745
2026-07-10,SRV-104,Chennai,Database,48.37,68.33,59.83,52263,599.59,249.64,15,4,Healthy,99.9713
2026-07-10,SRV-105,Bengaluru,Application,44.79,63.05,42.26,56139,324.93,219.78,18,0,Healthy,99.9679
2026-07-10,SRV-106,Bengaluru,Application,48.79,64.24,57.85,92825,366.91,293.71,23,1,Healthy,99.9752
2026-07-10,SRV-107,Hyderabad,API,62.01,58.41,63.32,91630,470.73,216.92,21,1,Healthy,99.9771
2026-07-10,SRV-108,Hyderabad,API,52.99,63.47,68.86,62745,380.67,196.59,23,0,Healthy,99.9633
2026-07-10,SRV-109,Delhi,Web,64.81,47.11,58.22,76349,284.98,213.9,18,0,Healthy,99.9764
2026-07-10,SRV-110,Delhi,Database,57.99,77.77,57.14,79185,438.66,207.36,12,1,Healthy,99.9848
2026-07-11,SRV-101,Mumbai,Web,67.88,51.73,59.2,64498,267.68,233.78,21,1,Healthy,99.9674
2026-07-11,SRV-102,Mumbai,Web,73.79,61.34,53.0,103217,200.12,114.84,13,1,Healthy,99.9874
2026-07-11,SRV-103,Chennai,Database,57.93,56.36,46.48,88086,410.08,209.26,17,0,Healthy,99.9807
2026-07-11,SRV-104,Chennai,Database,65.77,59.93,51.6,64963,397.06,183.34,16,0,Healthy,99.9754
2026-07-11,SRV-105,Bengaluru,Application,59.11,66.57,63.13,81715,552.92,208.92,12,2,Healthy,99.9853
2026-07-11,SRV-106,Bengaluru,Application,42.63,61.5,61.37,63639,388.39,118.88,18,1,Healthy,99.9717
2026-07-11,SRV-107,Hyderabad,API,47.38,71.96,55.51,74619,351.18,172.21,18,0,Healthy,99.9759
2026-07-11,SRV-108,Hyderabad,API,64.43,66.25,49.3,74284,304.16,179.84,19,1,Healthy,99.9744
2026-07-11,SRV-109,Delhi,Web,57.5,41.58,55.78,64770,391.89,134.93,19,1,Healthy,99.9707
2026-07-11,SRV-110,Delhi,Database,71.79,71.25,58.54,65295,459.35,211.42,16,0,Healthy,99.9755
2026-07-12,SRV-101,Mumbai,Web,56.37,71.5,56.22,94759,638.25,198.06,21,0,Healthy,99.9778
2026-07-12,SRV-102,Mumbai,Web,47.18,57.16,55.12,81362,362.63,203.53,20,1,Healthy,99.9754
2026-07-12,SRV-103,Chennai,Database,55.46,63.2,63.52,59658,253.14,168.42,21,0,Healthy,99.9648
